applist,cri,cric,cricbuzz,cricguru,crick,cricke,cricket,GETX,goog,grt,jntuk,joke,jokes,lovestory,message,monitor,news,omegle,score,scr,smsbox,smsfun,t20,TA2012011107,triv,VTU,vturesult,wikipedia,word
0,786,27,2,0,0,2,5500,0,1,0,4,0,6,3,6,0,3,1,7,0,4,0,0,0,0,0,1,0,1
0,2269,2,2,0,0,0,1384,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,184,0,0,0,0,0,0
0,76,90,2892,1,1,0,3974,0,2,0,0,0,4,3,6,0,324,0,174,0,273,8,52,0,0,4,7,0,1
0,0,0,0,0,0,0,0,0,0,28,0,21,756,0,26,0,0,0,0,0,5064,16,0,1,0,0,0,0,0
0,4082,0,29,0,0,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,1,4359,0,0,0,0,0,0,0,0,0,0,49
7,26,0,44,0,0,0,138,0,3,0,1,1,24,10,38,0,156,22,1,0,103,18,0,0,0,1,0,4401,37
0,0,0,300,0,0,0,1149,0,10,8,0,6,1024,13,55,0,11,2,3,0,1939,139,0,1,0,0,0,295,6
0,3,5,1888,1,2,3,3673,0,1,1,1,1,21,0,8,0,7,3,3,0,14,0,1,0,0,0,1,1,0
0,26,0,536,0,0,4,3224,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,1,1,0
0,58,0,3918,0,0,1,830,0,0,0,0,0,0,0,0,0,0,0,571,0,0,0,0,0,0,0,0,0,0
0,5,0,1733,0,0,0,2253,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1015,0,4639,0,0,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
17,156,0,11,13,0,0,319,1,8,148,1,5,470,9,34,0,53,1632,1,0,1083,61,1,12,201,0,20,0,2
0,1606,2150,32,0,1,1,1087,0,1,0,0,0,1,0,0,0,17,0,9,0,0,0,0,0,0,0,0,0,0
103,696,78,195,106,2,2,394,33,29,70,2,6,14,64,15,0,30,10,86,2,255,25,34,29,574,0,1,35,7
17,22,200,19,0,2,0,37,0,3637,0,1,1,110,42,37,0,30,25,2,0,57,22,0,0,3,0,0,267,10
0,54,0,1789,0,0,0,2949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,386,9,1970,19,14,1,706,0,15,0,4,1,66,1,22,0,20,3,25,0,1218,9,300,2,0,4,0,6,2
83,0,5,17,102,0,0,252,4,12,2,4,9,25,9,18,0,21,751,20,0,18,2,1,599,2386,0,51,72,73
3,9,0,1392,5,0,0,1054,0,10,0,1,90,1725,14,15,0,329,2,1,0,1583,9,0,0,0,110,106,48,425
0,11,1,2,0,894,1,3248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0,3988,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0
34,516,72,1535,27,0,1,1453,18,21,0,1,59,233,6,39,0,175,0,116,2,89,4,78,7,0,0,0,5,3
0,841,0,218,0,0,0,4025,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,2,1,163,25,4,0,0,4379,0,0,1079,3,0,81,0,7,11,0,1
2,35,5,1033,4,2,3,3426,0,0,0,0,0,9,0,8,0,1,0,393,0,39,0,14,1,0,0,0,0,0
0,1660,193,3170,0,0,0,2067,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,661,196,1237,0,0,0,1567,2,0,0,1,0,407,3,57,0,9,12,2195,0,375,0,130,0,6,0,1,2,3
0,3391,0,2,0,0,2,3592,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,221,21,0,0,0,1,10,0,3,13,1,12,875,25,33,0,0,12,1,0,4188,33,31,11,3,0,2,8,8
0,1820,89,1072,21,77,126,7386,0,1,0,0,0,2,0,0,0,1,0,88,1277,0,0,0,4,0,0,0,0,2
0,0,0,104,0,0,0,4552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100,144,830,15,0,0,1086,0,40,0,163,5,158,8,59,0,532,7,11,1,1289,24,21,0,4,0,0,46,46
0,0,0,0,0,0,0,4071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,0,51,0,0,2,2327,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
0,170,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,7625,0,0,2,0
36,225,17,1420,254,2,3,2972,0,3,13,2,2,38,73,69,0,38,41,576,1,20,5,324,4,1,6,468,1,5
0,380,1061,2341,3,0,0,1927,0,0,0,0,0,59,2,4,0,26,1,9,0,2,0,0,0,0,0,44,0,0
0,1,88,884,0,1,1082,388,0,1,0,0,0,734,0,42,0,1260,1,2,0,2066,0,1,0,0,0,0,0,0
0,2,0,1886,1,0,0,431,0,0,0,24,0,0,0,0,0,0,0,1450,0,0,0,0,0,57,0,0,0,0
17,3,6,810,0,0,0,237,3,0,11,1,1,230,27,18,0,25,4,9,0,905,31,0,0,1907,0,0,3,48
9,6,0,351,0,0,1,744,0,2,0,2,56,1962,8,33,0,21,0,0,0,444,19,8,0,1,5,1,16,5
54,3,1,0,0,0,0,0,4,0,0,1,0,3,7,5,0,1,3900,0,0,503,2,0,693,0,0,2,98,7
8,328,29,2436,11,0,1,1647,0,15,14,5,13,693,4,76,0,49,5,26,0,286,41,22,1,5,0,13,12,6
0,29,0,2370,263,1,1,764,0,2,12,0,29,1,17,1,0,51,0,221,6,3,0,364,8,1,0,0,0,5
0,741,0,0,0,0,5,3406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,0,8,0,0,0,2,0,13,116,6,2,494,65,80,0,5,75,1,0,4067,67,0,0,2,0,0,21,13
0,4080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,62,93,2297,0,1,0,2458,0,4255,3,0,4,40,0,51,0,491,28,928,1,59,0,0,0,0,0,0,340,0
0,1856,11,258,2,0,0,1883,0,0,0,2,0,12,2,27,0,0,1,180,0,31,0,125,1,1,0,0,0,0
1,2,28,314,107,0,0,936,0,9,0,2,377,2462,42,20,0,18,0,4,0,21,18,103,4,1,34,108,16,3
104,10902,420,2643,0,10,1,2219,0,65,0,2,0,2,3,12,0,2300,10,4288,0,6,2,0,0,9,0,2,559,3
2,813,0,9,20,0,1,585,0,3,1,4,0,2,5,5,0,4,866,81,0,4,2,6,1489,7,0,3,0,2
24,74,0,3,0,0,0,1,0,1847,5,2,3,9,38,37,0,4,46,0,0,123,42,0,467,5,0,1,1154,15
0,23,2,2054,1,0,1,3570,0,0,0,0,6,191,0,2,0,15,2,13,0,249,0,46,1,1,0,1,0,0
0,0,0,7005,0,0,0,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,82,20,2436,0,0,0,1740,0,1,0,0,3,123,0,0,0,1,2,21,114,5,1,15,0,0,0,4,1,1
0,1,0,1276,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7021,0,0,0,0,0,0,0,0,0,0
0,2010,2,805,0,1,8,2937,0,0,0,0,0,8,9,33,0,3,0,2,0,0,0,222,1,1,0,0,49,0
27,9,1,1,0,0,0,9,0,1,1,1,0,5,5,3,0,9,204,1,0,113,5,0,2353,2794,0,2,37,4
0,110,1031,7090,0,0,1,10281,0,0,0,0,0,0,0,1,0,1,0,840,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,4171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,231,10,2791,59,0,0,34,3,601,24,8,127,266,65,31,0,578,15,6,0,273,77,95,9,14,1,3,2177,57
0,1,0,1,0,0,0,4845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,84,11,998,3,0,0,1112,0,0,0,0,5,11,2,3,0,458,0,1375,0,1,2,46,0,0,1,0,7,101
0,9168,81,12,0,7,4,853,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,0,0,410,0,0,1,4508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,662,149,354,0,0,0,2716,0,0,0,0,0,1,0,6,0,2,0,46,1,0,0,0,0,0,0,2,11,0
0,3745,150,17,0,0,0,6,0,0,0,0,0,14,5,0,0,21,0,624,0,5,0,0,1,0,0,0,3,1
0,0,0,4458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,1,0,0,0,0,0,3,1142,3993,5,0,188,25,5,17,0,237,263,0,0,224,35,0,30,11,0,2,113,9
0,1856,0,0,0,0,13,2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
